2023/4/9,8:00,2456
2023/4/9,9:00,2608
2023/4/9,10:00,2675
2023/4/9,11:00,2699
2023/4/9,12:00,2683
2023/4/9,13:00,2587
2023/4/9,14:00,2499
2023/4/9,15:00,2471
2023/4/9,16:00,2499
2023/4/9,17:00,2643
2023/4/9,18:00,2849
2023/4/9,19:00,2881
2023/4/9,20:00,2822
2023/4/9,21:00,2708
2023/4/9,22:00,2559
2023/4/9,23:00,2427
2023/4/10,0:00,2277
2023/4/10,1:00,2206
2023/4/10,2:00,2228
2023/4/10,3:00,2286
2023/4/10,4:00,2341
2023/4/10,5:00,2431
2023/4/10,6:00,2569
2023/4/10,7:00,2713
2023/4/10,8:00,2982
2023/4/10,9:00,3180
2023/4/10,10:00,3242
2023/4/10,11:00,3267
2023/4/10,12:00,3151
2023/4/10,13:00,3183
2023/4/10,14:00,3123
2023/4/10,15:00,3075
2023/4/10,16:00,3079
2023/4/10,17:00,3065
2023/4/10,18:00,3153
2023/4/10,19:00,3093
2023/4/10,20:00,2979
2023/4/10,21:00,2833
2023/4/10,22:00,2702
2023/4/10,23:00,2549
2023/4/11,0:00,2362
2023/4/11,1:00,2271
2023/4/11,2:00,2283
2023/4/11,3:00,2324
2023/4/11,4:00,2365
2023/4/11,5:00,2412
2023/4/11,6:00,2502
2023/4/11,7:00,2661
2023/4/11,8:00,2943
2023/4/11,9:00,3163
2023/4/11,10:00,3267
2023/4/11,11:00,3294
2023/4/11,12:00,3170
2023/4/11,13:00,3228
2023/4/11,14:00,3195
2023/4/11,15:00,3147
2023/4/11,16:00,3121
2023/4/11,17:00,3052
2023/4/11,18:00,3112
2023/4/11,19:00,3036
2023/4/11,20:00,2918
2023/4/11,21:00,2771
2023/4/11,22:00,2648
2023/4/11,23:00,2513
2023/4/12,0:00,2337
2023/4/12,1:00,2251
2023/4/12,2:00,2250
2023/4/12,3:00,2279
2023/4/12,4:00,2301
2023/4/12,5:00,2338
2023/4/12,6:00,2435
2023/4/12,7:00,2615
2023/4/12,8:00,2878
2023/4/12,9:00,3181
2023/4/12,10:00,3312
2023/4/12,11:00,3356
2023/4/12,12:00,3242
2023/4/12,13:00,3291
2023/4/12,14:00,3180
2023/4/12,15:00,3103
2023/4/12,16:00,3109
2023/4/12,17:00,3059
2023/4/12,18:00,3117
2023/4/12,19:00,3037
2023/4/12,20:00,2914
2023/4/12,21:00,2750
2023/4/12,22:00,2633
2023/4/12,23:00,2491
2023/4/13,0:00,2333
2023/4/13,1:00,2251
2023/4/13,2:00,2258
2023/4/13,3:00,2302
2023/4/13,4:00,2339
2023/4/13,5:00,2371
2023/4/13,6:00,2459
2023/4/13,7:00,2611
2023/4/13,8:00,2906
2023/4/13,9:00,3147
2023/4/13,10:00,3248
2023/4/13,11:00,3281
2023/4/13,12:00,3159
2023/4/13,13:00,3207
2023/4/13,14:00,3150
2023/4/13,15:00,3103
2023/4/13,16:00,3084
2023/4/13,17:00,3037
2023/4/13,18:00,3107
2023/4/13,19:00,3039
2023/4/13,20:00,2925
2023/4/13,21:00,2778
2023/4/13,22:00,2647
2023/4/13,23:00,2500
2023/4/14,0:00,2322
2023/4/14,1:00,2240
2023/4/14,2:00,2244
2023/4/14,3:00,2284
2023/4/14,4:00,2320
2023/4/14,5:00,2345
2023/4/14,6:00,2437
2023/4/14,7:00,2641
2023/4/14,8:00,2930
2023/4/14,9:00,3170
2023/4/14,10:00,3253
2023/4/14,11:00,3262
2023/4/14,12:00,3088
2023/4/14,13:00,3089
2023/4/14,14:00,3143
2023/4/14,15:00,3171
2023/4/14,16:00,3099
2023/4/14,17:00,3045
2023/4/14,18:00,3080
2023/4/14,19:00,2985
2023/4/14,20:00,2867
2023/4/14,21:00,2725
2023/4/14,22:00,2609
2023/4/14,23:00,2483
2023/4/15,0:00,2310
2023/4/15,1:00,2212
2023/4/15,2:00,2198
2023/4/15,3:00,2224
2023/4/15,4:00,2230
2023/4/15,5:00,2222
2023/4/15,6:00,2234
2023/4/15,7:00,2351
2023/4/15,8:00,2581
2023/4/15,9:00,2743
2023/4/15,10:00,2802
2023/4/15,11:00,2815
2023/4/15,12:00,2767
2023/4/15,13:00,2794
2023/4/15,14:00,2781
2023/4/15,15:00,2775
2023/4/15,16:00,2809
2023/4/15,17:00,2870
2023/4/15,18:00,2936
2023/4/15,19:00,2877
2023/4/15,20:00,2772
2023/4/15,21:00,2631
2023/4/15,22:00,2507
2023/4/15,23:00,2397
2023/4/16,0:00,2226
2023/4/16,1:00,2139
2023/4/16,2:00,2130
2023/4/16,3:00,2161
2023/4/16,4:00,2165
2023/4/16,5:00,2159
2023/4/16,6:00,2161
2023/4/16,7:00,2252
2023/4/16,8:00,2406
2023/4/16,9:00,2449
2023/4/16,10:00,2476
2023/4/16,11:00,2608
2023/4/16,12:00,2688
2023/4/16,13:00,2650
2023/4/16,14:00,2565
2023/4/16,15:00,2481
2023/4/16,16:00,2524
2023/4/16,17:00,2603
2023/4/16,18:00,2733
2023/4/16,19:00,2720
2023/4/16,20:00,2640
2023/4/16,21:00,2527
2023/4/16,22:00,2392
2023/4/16,23:00,2283
2023/4/17,0:00,2149
2023/4/17,1:00,2079
2023/4/17,2:00,2092
2023/4/17,3:00,2149
2023/4/17,4:00,2198
2023/4/17,5:00,2265
2023/4/17,6:00,2370
2023/4/17,7:00,2547
2023/4/17,8:00,2881
2023/4/17,9:00,3140
2023/4/17,10:00,3223
2023/4/17,11:00,3246
2023/4/17,12:00,3080
2023/4/17,13:00,3171
2023/4/17,14:00,3107
2023/4/17,15:00,3051
2023/4/17,16:00,3053
2023/4/17,17:00,3026
2023/4/17,18:00,3110
2023/4/17,19:00,3059
2023/4/17,20:00,2949
2023/4/17,21:00,2808
2023/4/17,22:00,2682
2023/4/17,23:00,2542
2023/4/18,0:00,2359
2023/4/18,1:00,2273
2023/4/18,2:00,2281
2023/4/18,3:00,2321
2023/4/18,4:00,2370
2023/4/18,5:00,2415
2023/4/18,6:00,2519
2023/4/18,7:00,2696
2023/4/18,8:00,2944
2023/4/18,9:00,3176
2023/4/18,10:00,3276
2023/4/18,11:00,3208
2023/4/18,12:00,3087
2023/4/18,13:00,3209
2023/4/18,14:00,3197
2023/4/18,15:00,3173
2023/4/18,16:00,3198
2023/4/18,17:00,3144
2023/4/18,18:00,3224
2023/4/18,19:00,3155
2023/4/18,20:00,3044
2023/4/18,21:00,2887
2023/4/18,22:00,2742
2023/4/18,23:00,2584
2023/4/19,0:00,2393
2023/4/19,1:00,2293
2023/4/19,2:00,2296
2023/4/19,3:00,2339
2023/4/19,4:00,2374
2023/4/19,5:00,2399
2023/4/19,6:00,2493
2023/4/19,7:00,2631
2023/4/19,8:00,2904
